Region Measurement - 5357-Minus-3-3DAnimation-.oib Z:0 T:0 L:0 ROI:5

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,5,5,5,5,5,5,5,5,5,5,5
Average,446.741,611.864,25039.600,581.242,28065631.000,1134.823,3888.800,46.600,3842.200,965.609,2896.827
Max,693.313,843.938,28118.000,602.222,32553310.000,1311.234,3891.000,59.000,3846.000,1078.533,3235.599
Min,195.944,182.000,20836.000,547.151,25078518.000,942.299,3886.000,42.000,3832.000,827.978,2483.933
Range,497.368,661.938,7282.000,55.070,7474792.000,368.935,5.000,17.000,14.000,250.555,751.666
StdDev,195.065,261.351,3206.380,22.255,2977847.985,176.022,1.924,7.021,5.762,105.627,316.880
3StdDev,585.194,784.053,9619.139,66.766,8933543.955,528.065,5.771,21.064,17.286,316.880,950.641

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,580.118,182.000,22501.000,547.151,29504069.000,1311.234,3891.000,59.000,3832.000,1004.854,3014.561
2,693.313,608.625,27512.000,598.834,32553310.000,1183.240,3890.000,44.000,3846.000,1033.467,3100.401
3,347.706,627.647,20836.000,573.554,26696706.000,1281.278,3889.000,45.000,3844.000,1078.533,3235.599
4,195.944,797.111,28118.000,602.222,26495552.000,942.299,3886.000,42.000,3844.000,883.214,2649.641
5,416.625,843.938,26231.000,584.448,25078518.000,956.064,3888.000,43.000,3845.000,827.978,2483.933
