Region Measurement - 5357-Plus-2-3DAnimation-.oib Z:0 T:0 L:0 ROI:5

 ,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
Count,5,5,5,5,5,5,5,5,5,5,5
Average,534.546,468.746,21289.000,679.915,4969962.800,230.411,2318.600,45.000,2273.600,129.495,388.486
Max,703.207,681.533,64973.000,1268.114,15382199.000,239.350,3888.000,52.000,3846.000,199.953,599.859
Min,238.237,297.931,9564.000,497.364,2202573.000,212.695,1756.000,42.000,1704.000,90.688,272.064
Range,464.970,383.602,55409.000,770.751,13179626.000,26.656,2132.000,10.000,2142.000,109.265,327.796
StdDev,178.298,142.784,24433.434,329.684,5822107.043,10.494,885.276,4.123,887.371,43.542,130.625
3StdDev,534.895,428.352,73300.302,989.052,17466321.130,31.481,2655.828,12.369,2662.112,130.625,391.876

ROI,CenterX,CenterY,Area,Perimeter,Integration,Average,Max,Min,Range,StdDev,3StdDev
,[pixel],[pixel],[pixel^2],[pixel],CHS1,CHS1,CHS1,CHS1,CHS1,CHS1,CHS1
1,238.237,518.474,64973.000,1268.114,15382199.000,236.748,2048.000,42.000,2006.000,90.688,272.064
2,637.310,297.931,9564.000,497.364,2202573.000,230.298,1876.000,44.000,1832.000,137.163,411.488
3,703.207,408.483,11622.000,563.660,2471937.000,212.695,1756.000,52.000,1704.000,97.973,293.919
4,542.207,437.310,9765.000,529.160,2274900.000,232.965,3888.000,42.000,3846.000,199.953,599.859
5,551.767,681.533,10521.000,541.278,2518205.000,239.350,2025.000,45.000,1980.000,121.699,365.097
