Batch,Treatment ,Mean_Intensity,Summed_MinIntensity
1,High_CO2,631.98,101749
1,High_CO2,805.9,41101
1,High_CO2,860.65,100696
1,High_CO2,870.65,107960
1,High_CO2,851.33,35756
1,High_CO2,834.43,35046
1,High_CO2,590.75,98656
1,High_CO2,749.17,62930
1,High_CO2,1026.01,217515
1,High_CO2,624.27,99884
1,High_CO2,398.93,24335
1,High_CO2,612.04,45903
1,High_CO2,796.12,168778
1,High_CO2,1033.31,121930
2,High_CO2,1034.3,187208
2,High_CO2,730.15,107332
2,High_CO2,871.27,105424
2,High_CO2,891.49,70428
2,High_CO2,502.76,50779
2,High_CO2,423.59,18638
2,High_CO2,328.82,46035
2,High_CO2,674.76,96490
2,High_CO2,1096.96,153575
2,High_CO2,899.69,91768
2,High_CO2,1008.67,102884
2,High_CO2,361.19,28534
2,High_CO2,833.86,116740
2,High_CO2,588.77,106568
2,Hyperoxia ,2019.84,141389
2,Hyperoxia ,1764.17,169360
2,Hyperoxia ,2171.25,171529
2,Hyperoxia ,2468.93,172825
2,Hyperoxia ,2520.09,219248
3,Hyperoxia ,2040.34,340737
3,Hyperoxia ,1875.08,348765
2,Low_CO2,1831.63,390138
2,Low_CO2,2330.12,281945
2,Low_CO2,2356.02,706807
2,Low_CO2,2085.9,352517
3,Low_CO2,1928.08,341270
3,Low_CO2,2474.31,346404
3,Low_CO2,2477.93,398947
3,Low_CO2,1319.31,92352
